MOVIE_NM,DRCTR_NM,OPN_DE,MOVIE_TY_NM,NLTY_NM,TOT_SCRN_CO,SALES_PRICE,VIEWNG_NMPR_CO,GENRE_NM,GRAD_NM,MOVIE_SDIV_NM
파묘,장재현,20240222,개봉영화,한국,2355.00000,70718847542.00000,7260067.00000,미스터리,15세이상관람가,일반영화
듄: 파트2,드니 빌뇌브,20240228,개봉영화,미국,1544.00000,19141960349.00000,1617500.00000,액션,12세이상관람가,일반영화
댓글부대,안국진,20240327,개봉영화,한국,1228.00000,5042399113.00000,541058.00000,범죄,15세이상관람가,일반영화
웡카,폴 킹,20240131,개봉영화,미국,1753.00000,3838068524.00000,401512.00000,판타지,전체관람가,일반영화
고질라 X 콩: 뉴 엠파이어,아담 윈가드,20240327,개봉영화,미국,996.00000,3220812514.00000,320982.00000,액션,12세이상관람가,일반영화
극장판 스파이 패밀리 코드 : 화이트,카타기리 타카시,20240320,개봉영화,일본,917.00000,2343723486.00000,235008.00000,애니메이션,12세이상관람가,일반영화
브레드이발소: 셀럽 인 베이커리타운,정지환,20240301,개봉영화,한국,342.00000,1474276210.00000,173713.00000,애니메이션,전체관람가,일반영화
가여운 것들,요르고스 란티모스,20240306,개봉영화,미국,471.00000,1421882806.00000,142488.00000,드라마,청소년관람불가,독립/예술영화
건국전쟁,김덕영,20240201,개봉영화,한국,224.00000,1250960217.00000,138922.00000,다큐멘터리,12세이상관람가,일반영화
패스트 라이브즈,셀린 송,20240306,개봉영화,미국,613.00000,1068021931.00000,115193.00000,드라마,12세이상관람가,일반영화
"귀멸의 칼날: 인연의 기적, 그리고 합동 강화 훈련으로",소토자키 하루오,20240214,개봉영화,일본,393.00000,720819400.00000,70124.00000,애니메이션,15세이상관람가,일반영화
아이엠 티라노,,20240301,개봉영화,중국,229.00000,396009500.00000,47077.00000,애니메이션,전체관람가,일반영화
랜드 오브 배드,윌리엄 유뱅크,20240313,개봉영화,미국,394.00000,378632312.00000,44252.00000,액션,15세이상관람가,일반영화
밥 말리: 원 러브,레이날도 마커스 그린,20240313,개봉영화,미국,579.00000,350834494.00000,38585.00000,드라마,15세이상관람가,일반영화
1980,강승용,20240327,개봉영화,한국,522.00000,291901745.00000,32237.00000,드라마,12세이상관람가,일반영화
메이 디셈버,토드 헤인즈,20240313,개봉영화,미국,400.00000,278129018.00000,30186.00000,드라마,청소년관람불가,독립/예술영화
소풍,김용균,20240207,개봉영화,한국,729.00000,235961384.00000,27369.00000,드라마,12세이상관람가,독립/예술영화
로봇 드림,파블로 베르헤르,20240313,개봉영화,스페인,114.00000,228413431.00000,23298.00000,애니메이션,전체관람가,독립/예술영화
용감한 돌고래 벨루와 바닷속 친구들,,20240313,개봉영화,캐나다,180.00000,170511080.00000,23121.00000,애니메이션,전체관람가,독립/예술영화
악은 존재하지 않는다,하마구치 류스케,20240327,개봉영화,일본,149.00000,194554256.00000,19104.00000,드라마,12세이상관람가,독립/예술영화
탐정 말로,닐 조단,20240321,개봉영화,아일랜드,183.00000,137411500.00000,18785.00000,범죄,15세이상관람가,독립/예술영화
추락의 해부,쥐스틴 트리에,20240131,개봉영화,프랑스,236.00000,174494229.00000,17382.00000,드라마,15세이상관람가,독립/예술영화
이승윤 콘서트 도킹 : 리프트오프,,20240322,개봉영화,한국,66.00000,362737000.00000,15918.00000,공연,전체관람가,일반영화
나이트 스윔,브라이스 맥과이어,20240320,개봉영화,미국,195.00000,149987100.00000,15747.00000,공포(호러),12세이상관람가,일반영화
목스박,고훈,20240320,개봉영화,한국,122.00000,139047005.00000,15740.00000,액션,15세이상관람가,일반영화
마담 웹,S.J. 클락슨,20240313,개봉영화,미국,648.00000,142223617.00000,15434.00000,액션,12세이상관람가,일반영화
사운드 오브 프리덤,알레한드로 고메즈 몬테베르드,20240221,개봉영화,미국,248.00000,152539800.00000,14638.00000,범죄,15세이상관람가,일반영화
